ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
1136,1136,1118,442,97,19,90,1,2,2,94,17,31,38,19,552,543,19,79,558,558,558,31,37,39,117,31,38,17,81
2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
6070,6070,6014,462,140,26,130,1,2,2,181,22,50,72,24,626,633,19,219,664,664,664,50,58,71,251,49,58,22,168
7,7,7,7,1,1,1,1,2,1,7,6,6,6,1,7,7,6,2,7,7,7,7,6,6,7,7,6,6,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7264,7264,7148,2131,137,24,129,1,2,2,295,22,50,77,22,2839,2843,19,286,2985,2985,2985,51,65,77,655,50,59,23,269
5,5,5,5,1,1,1,1,2,2,4,2,5,4,1,5,5,5,2,5,5,5,5,4,5,5,4,4,2,4
2653,2653,2629,426,110,25,101,1,2,2,161,22,48,57,22,582,576,19,168,597,597,597,48,54,59,227,49,53,22,147
233,233,233,167,51,16,50,1,2,2,115,22,42,46,17,173,175,19,11,178,178,178,41,50,46,121,40,48,22,105
5,5,5,5,1,1,1,1,1,1,5,5,5,5,1,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5
14005,14005,13778,1137,159,25,148,1,2,2,273,22,50,72,22,1332,1361,19,524,1385,1385,1385,50,58,71,456,50,55,22,244
15,13,13,13,1,1,1,1,2,2,12,9,11,12,1,13,13,7,2,13,13,13,11,11,12,13,10,12,9,13
262796,262796,217421,33227,345,31,324,1,2,2,303,24,50,78,24,49517,68191,19,1434,115805,115800,115830,53,80,77,800,50,61,25,277
2994,2994,2977,1477,143,21,134,1,2,2,288,23,50,77,24,1570,1577,19,162,1605,1605,1605,50,64,77,574,50,60,22,266
5840,5840,5796,2085,158,24,149,1,2,2,243,22,49,77,23,2763,2807,19,210,2942,2942,2942,50,61,77,425,50,58,22,226
52930,52924,50073,7060,285,30,267,1,2,2,298,23,50,77,25,13213,14449,19,603,16839,16838,16839,50,65,77,765,50,59,22,270
162,158,160,149,1,1,1,1,2,2,101,22,43,51,1,154,154,19,6,155,155,155,43,39,55,123,43,40,22,107
198125,198125,173020,21215,297,31,279,1,2,2,301,23,50,78,24,37211,46111,19,978,66746,66743,66761,51,78,77,801,50,61,23,273
559,559,556,150,57,15,55,1,2,2,103,21,45,42,19,167,168,17,70,173,173,173,44,42,43,124,41,42,21,94
18016,18016,17480,1721,248,30,232,1,2,2,281,22,50,76,23,2094,2093,19,583,2196,2197,2197,51,63,76,603,50,60,23,268
903,903,897,738,86,19,83,1,2,2,255,22,50,75,20,747,750,19,70,755,755,755,50,56,75,432,50,57,22,243
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297,287,294,274,1,1,1,1,2,2,130,19,38,43,1,283,285,19,8,287,287,287,36,33,44,182,36,33,19,127
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
13,12,12,12,1,1,1,1,2,1,12,7,9,9,1,12,12,8,2,12,12,12,9,7,10,12,9,7,7,12
1168794,1168794,699799,44366,358,33,337,1,2,2,300,23,50,78,25,68515,110768,19,2310,349235,349139,349431,52,78,77,800,50,61,24,274
120754,120754,115093,23940,294,30,273,1,2,2,297,22,50,77,23,38349,50076,19,940,75231,75223,75239,52,69,77,798,50,60,24,271
133360,133360,108499,25556,225,25,212,1,2,2,297,23,50,78,23,43607,58541,19,884,94537,94526,94553,52,70,77,796,50,60,24,271
